,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_Ratio,EU_Sales_Ratio,JP_Sales_Ratio,Other_Sales_Ratio
0,1,Wii Sports,Wii,2006.0,Sports,Desconocido,41.49,29.02,3.77,8.46,82.74,0.5014503263234228,0.3507372492144066,0.045564418660865365,0.10224800580130532
1,2,Super Mario Bros.,NES,1985.0,Platform,Desconocido,29.08,3.58,6.81,0.77,40.24,0.7226640159045725,0.0889662027833002,0.169234592445328,0.019135188866799203
2,3,Mario Kart Wii,Wii,2008.0,Racing,Desconocido,15.85,12.88,3.79,3.31,35.82,0.4424902289223897,0.3595756560580681,0.1058068118369626,0.09240647682858738
3,4,Wii Sports Resort,Wii,2009.0,Sports,Desconocido,15.75,11.01,3.28,2.96,33.0,0.4772727272727273,0.3336363636363636,0.09939393939393938,0.08969696969696969
4,5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Desconocido,11.27,8.89,10.22,1.0,31.37,0.35926043991074275,0.28339177558176604,0.32578897035384125,0.031877590054191905
5,6,Tetris,GB,1989.0,Puzzle,Desconocido,23.2,2.26,4.22,0.58,30.26,0.7666886979510905,0.07468605419695967,0.13945803040317248,0.019167217448777262
6,7,New Super Mario Bros.,DS,2006.0,Platform,Desconocido,11.38,9.23,6.5,2.9,30.01,0.37920693102299236,0.30756414528490506,0.2165944685104965,0.09663445518160613
7,8,Wii Play,Wii,2006.0,Misc,Desconocido,14.03,9.2,2.93,2.85,29.02,0.48345968297725705,0.31702274293590627,0.10096485182632668,0.09820813232253618
8,9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Desconocido,14.59,7.06,4.7,2.26,28.62,0.5097833682739343,0.246680642907058,0.1642208245981831,0.07896575821104122
9,10,Duck Hunt,NES,1984.0,Shooter,Desconocido,26.93,0.63,0.28,0.47,28.31,0.9512539738608266,0.022253620628753093,0.009890498057223597,0.01660190745319675
10,11,Nintendogs,DS,2005.0,Simulation,Desconocido,9.07,11.0,1.93,2.75,24.76,0.36631663974151857,0.444264943457189,0.07794830371567042,0.11106623586429724
11,12,Mario Kart DS,DS,2005.0,Racing,Desconocido,9.81,7.57,4.13,1.92,23.42,0.4188727583262169,0.3232280102476516,0.1763450042698548,0.08198121263877027
12,13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Desconocido,9.0,6.18,7.2,0.71,23.1,0.3896103896103896,0.2675324675324675,0.3116883116883117,0.03073593073593073
13,14,Wii Fit,Wii,2007.0,Sports,Desconocido,8.94,8.03,3.6,2.15,22.72,0.39348591549295775,0.3534330985915493,0.15845070422535212,0.09463028169014084
14,15,Wii Fit Plus,Wii,2009.0,Sports,Desconocido,9.09,8.59,2.53,1.79,22.0,0.41318181818181815,0.39045454545454544,0.11499999999999999,0.08136363636363636
15,16,Kinect Adventures!,X360,2010.0,Misc,Desconocido,14.97,4.94,0.24,1.67,21.82,0.6860678276810266,0.22639780018331807,0.010999083409715857,0.0765352887259395
16,17,Grand Theft Auto V,PS3,2013.0,Action,Desconocido,7.01,9.27,0.97,4.14,21.4,0.3275700934579439,0.433177570093458,0.04532710280373832,0.19345794392523363
17,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Desconocido,9.43,0.4,0.41,10.57,20.81,0.4531475252282557,0.019221528111484865,0.019702066314271984,0.5079288803459876
